id1_400,aspect,slope,dem,cec_barren,cec_broadleaf,cec_cropland,cec_grassland,cec_mixed_forest,cec_needleleaf,cec_shrubland,cec_urban,fwa_1,fwa_2,fwa_3,fwa_4,fwa_5,fwa_6,fwa_7,fwa_8,fwa_10ha_less,fwa_10ha_more,fwa_r,fwa_w,shrcx_10less,shrcx_10plus,str_1,str_2,str_3,str_4,str_5,str_6,str_7,str_8,str_9,str_all_1000,str_m,str_s,pa,alr,dra_p,dra_u,bec_sz_txt,bec_zn,norm_ahm,norm_bffp,norm_cmd,norm_dd5,norm_dd18,norm_effp,norm_map,norm_mat,norm_mcmt,norm_mwmt,norm_pas,norm_shm,norm_pas_sp,norm_pas_wt,mean_ahm,mean_bffp,mean_cmd,mean_dd5,mean_dd18,mean_effp,mean_ffp,mean_map,mean_mat,mean_mcmt,mean_mwmt,mean_pas,mean_pas_sp,mean_pas_wt,mean_shm,amwi,bago,buff,bwte,cago,canv,cite,cogo,come,gadw,gwte,hadu,home,ltdu,mall,nopi,nsho,rbme,redh,rndu,rudu,scau,sngo,swan,trus,wfgo,wodu,sp_div,sp_tot,mergansers,dabblers,divers,dabbler_plants,dabbler_seeds,dive_fish,dive_insects,dive_plants,ground_plants,ground_seeds,cavity,floating,ground
17,170.9113617,3.0704777,1022.467835,46,1,0,579,270,3965,164,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,4.7471809,0,0,0,0,0,5.1393266,IDFdk3,IDFdk3,309,157,277,1118,23,250,438,35,-76,147,133,616,25,77,39.22727273,154.4545441,390.6363525,1334.181763,43.5454559,252.3636322,97.9090881,365.1818182,4.227272727,-8.418181818,16.29090909,110.5454559,22.454546,64.8181839,95.27272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,141.381012,2.1271434,1037.190064,0,65,519,41,335,3610,168,149,54,0,0,0,257,0,0,0,54,257,0,1864,4.00E-06,6.00E-07,0.0006719,0.0010295,0,0,0,0,0,0,0,11.1634178,0,0.0017014,0,3447,0,4.7176914,IDFdk3,IDFdk3,305,156,313,1219,28,249,465,42,-70,150,133,626,20,84,35.07272727,157.1818237,363.6363525,1246.909058,31.272728,251.3636322,94.1818085,403.6363636,4.063636364,-8.281818182,15.53636364,127.9090881,26,74,84.71818182,0,0,0,0,0.909090909,0,0,0,0,0,0,0,0,0,0.727272727,0,0,0,0,0,0,0,0,0,0,0,0,0.454545455,1.636363636,0,0.727272727,0,0,0.727272727,0,0,0,0,0.909090909,0,0,1.636363636
53,154.1815948,2.1808527,1113.067627,0,0,0,81,1012,3888,44,0,41,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8382857,0,0,0,0,0,6.8941193,IDFdk3,IDFdk3,266,161,264,1041,17,245,502,34,-73,140,168,586,34,94,31.53636364,158.9090881,340.8181763,1154.45459,24.636364,248.4545441,89.545456,436,3.618181818,-8.445454545,15.00909091,153.6363678,36.5454559,82.9090881,82.42727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,158.7968597,3.529695,919.8391113,41,29,259,111,163,3191,579,287,0,0,0,0,0,0,0,734,0,734,0,77,0,0,0,0,0,0,0,0,0,0,0,6.47295,0,0,2001,530,1.2512963,9.5460796,IDFdk3,IDFdk3,333,151,353,1367,41,255,445,48,-67,159,121,717,14,83,37.46363636,151.7272797,393,1377.54541,45,255.0909119,103.3636322,391.5454545,4.572727273,-8.118181818,16.29090909,120.5454559,21.454546,73.5454559,93.43636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,153.7938232,2.4159806,1076.874023,60,0,0,686,475,2538,904,0,115,19,74,166,362,0,0,0,374,362,0,87,5.50E-06,0,0.0006546,0.0011934,0,0,0,0,0,0,0,12.0188427,0,0.001848,273,0,0,5.6836963,IDFdk3,IDFdk3,314,159,301,1131,22,248,438,37,-73,147,132,646,24,79,37.08181818,159.2727203,384.0909119,1221.45459,30.181818,249.2727203,90,377.5454545,3.927272727,-8.263636364,15.45454545,124.6363602,27.545454,70.0909119,92.02727273,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0.090909091
84,196.2382202,5.6679964,970.8328857,0,23,180,13,549,3210,718,244,4,42,0,0,144,12,0,0,46,156,0,144,0,0,0,0,0,0,0,0,0,0,0,6.6894174,0,0,2500,11289,0,10.7889767,IDFdk3,IDFdk3,294,157,290,1173,26,248,476,40,-71,148,141,603,22,89,34.82727273,159.2727203,376.8181763,1283,34.727272,249.9090881,90.6363678,409.3636364,4.190909091,-8.290909091,15.69090909,129.6363678,25.181818,76.6363602,83.40909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,157.5783691,3.0530138,995.1168823,21,30,0,0,380,4398,9,0,79,65,171,164,0,0,0,0,479,0,0,1090,5.20E-06,0,0.0006413,0.0003532,0,0,0,0,0,0,0,14.3636208,0,0.0009944,1568,2729,0,4.2855,IDFdk3,IDFdk3,293,158,309,1180,27,248,478,40,-70,150,151,680,24,91,34.35454545,157,375.9090881,1271.818237,34.272728,251.0909119,94.0909119,414.8181818,4.127272727,-8.3,15.74545455,140.2727203,28.636364,80.5454559,92.83636364,0,0,0.545454545,0,0.909090909,0,0,0,0,0,0.727272727,0,0,0,0.909090909,0,0,0,0,0.363636364,0,0,0,0,0,0,0,1.363636364,3.454545455,0,1.636363636,0.909090909,0,1.636363636,0,0.545454545,0.363636364,0,0.909090909,0,0.909090909,2.545454545
129,119.0254135,10.4620485,1208.545654,67,115,0,31,226,4335,230,0,0,0,0,0,0,39,0,0,0,39,0,239,0,0,0.0006573,0,0,0,0,0,0,0,0,17.904644,0,0.0006573,0,0,0,2.6905463,IDFdk3,IDFdk3,236,160,217,967,14,251,544,28,-80,135,209,566,51,111,28.66363636,156.7272797,309.9090881,1109.54541,21.727272,253.0909119,96.3636322,467.9090909,3.309090909,-8.781818182,14.7,178.9090881,48.4545441,94.3636398,83.24545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,139.2683105,3.413476,1156.599121,29,22,0,1315,73,2569,623,230,81,35,90,149,0,0,0,0,355,0,0,1286,1.73E-05,0,0.0011022,1.00E-07,0.0004377,0.0023086,0,0,0,0,0,25.06147,0.0023086,0.00154,215,6481,0.0076097,6.6692967,IDFdk3,IDFdk3,317,160,305,1080,20,246,426,35,-74,143,140,678,26,83,36.78181818,160.0909119,370.3636475,1143.636353,24.727272,247.8181763,87.7272644,372,3.6,-8.345454545,15.1,132.1818237,30.90909,72.4545441,95.60909091,1.636363636,0.363636364,2.545454545,0.363636364,1.181818182,0,1.818181818,0,0,0.363636364,1.272727273,0,0,0,8.363636364,0,0.545454545,0,0,5.454545455,1.181818182,10.54545455,0,0,0,0,0,5.636363636,35.63636364,0,14.36363637,20.0909091,2.545454545,11.81818182,0,14.63636364,5.454545455,0,1.181818182,0.363636364,8,27.27272727
145,166.08815,3.8088944,847.545166,31,0,3,33,171,4539,129,0,78,30,167,44,0,0,0,0,319,0,0,284,7.60E-06,0,0.00142,0,0,0,0,0,0,0,0,13.9106913,0,0.00142,581,9535,0,7.0409956,IDFdk3,IDFdk3,296,152,292,1273,34,255,483,43,-71,155,140,628,19,90,35.29090909,148.4545441,373.1818237,1431.363648,52.1818199,258.1818237,109.7272796,421.0909091,4.7,-8.381818182,16.64545455,125.0909119,20.272728,78.6363602,85.7,0.181818182,0,0.727272727,0,0.272727273,0,0.181818182,0,0,0,0.545454545,0,0,0,0.545454545,0,0,0,0,0.272727273,0,0.454545455,0,0,0,0,0,1.636363636,3.181818182,0,1.454545455,1.454545455,0.181818182,1.272727273,0,1.181818182,0.272727273,0,0.272727273,0,1,2.181818182
175,153.1398773,2.5255029,1157.865845,124,24,0,215,140,3738,394,246,16,49,148,150,0,0,0,0,363,0,0,2736,2.10E-06,0,0.0009299,0,0.001679,0,0,0,0,0,0,18.7982216,0,0.0026089,0,0,1.5827999,6.5296736,IDFdk3,IDFdk3,268,158,252,1069,19,249,504,35,-73,142,169,571,33,95,30.99090909,159.3636322,329.4545593,1146.45459,24.90909,250.7272797,91.3636475,441.8181818,3.645454545,-8.318181818,14.97272727,159,38.363636,84.0909119,78.76363636,0,0,0.181818182,0.363636364,0.727272727,0,0,0,0,0,0,0,0,0,0.363636364,0,0,0,0,0.545454545,0,0,0,0,0,0,0,0.636363636,2.181818182,0,0.727272727,0.727272727,0,0.727272727,0,0.181818182,0.545454545,0,0.727272727,0,0.727272727,1.454545455
